country,cohort_year,bio_polarity
China,2026,0.14696969696969697
China,2024,0.0
China,2026,0.05416666666666667
Egypt,2025,0.0
United States of America,2026,0.11666666666666667
United Kingdom,2020,0.0
Kyrgyzstan,2026,0.11944444444444445
Pakistan,2021,0.0
United States of America,2022,0.0
Nigeria,2026,0.13518518518518519
Pakistan,2020,0.0
Morocco,2020,0.0
United States of America,2024,0.0
Jordan,2021,0.0
United States of America,2025,0.0
United States of America,2020,0.0
Germany,2026,0.018750000000000003
Ireland,2027,-0.03666666666666667
United Kingdom,2022,0.0
India,2024,0.0
Benin,2021,0.0
United States of America,2023,0.0
United States of America,2026,-0.02857142857142857
United States of America,2020,0.0
Pakistan,2023,0.0
United States of America,2026,0.05995670995670995
Somalia,2022,0.0
Pakistan,2027,0.10312500000000001
China,2025,0.0
Uganda,2026,0.044444444444444446
Nigeria,2020,0.0
Nigeria,2026,0.01666666666666667
Russia,2022,0.0
United States of America,2025,0.0
Iraq,2025,0.0
Palestine,2025,0.0
Saudi Arabia,2027,0.05500000000000001
United States of America,2024,0.0
Afghanistan,2024,0.0
United States of America,2027,-0.030000000000000006
Panama,2025,0.0
Canada,2023,0.0
United States of America,2020,0.0
United Kingdom,2022,0.0
Kyrgyzstan,2027,0.19814814814814816
Azerbaijan,2017,0.0
Azerbaijan,2021,0.0
Ireland,2027,0.041666666666666664
United States of America,2021,0.0
Egypt,2017,0.0
Libya,2018,0.0
United States of America,2020,0.0
United States of America,2017,0.0
United States of America,2020,0.0
Spain,2021,0.0
Brazil,2027,-0.06666666666666667
India,2020,0.0
South Sudan,2018,0.0
Ghana,2021,0.0
United States of America,2026,0.056666666666666664
United States of America,2019,0.0
Armenia,2025,0.0
Australia,2026,0.1875
United States of America,2027,-0.004829545454545456
United States of America,2023,0.0
United Kingdom,2019,0.0
United States of America,2026,0.03852813852813853
United States of America,2026,0.20555555555555552
Ghana,2025,0.0
United States of America,2026,0.02
United States of America,2026,0.05
United States of America,2023,0.0
United States of America,2022,0.0
United States of America,2027,0.05
United States of America,2026,0.06666666666666668
Kazakhstan,2027,0.15
United States of America,2019,0.0
China,2025,0.0
Canada,2027,0.08499999999999999
France,2022,0.0
Myanmar,2020,0.0
United States of America,2024,0.0
United States of America,2020,0.0
United States of America,2023,0.0
Mexico,2022,0.0
Pakistan,2023,0.0
United States of America,2024,0.0
South Korea,2026,0.0
China,2024,0.0
Ghana,2018,0.0
United States of America,2027,0.10625
United States of America,2025,0.0
United States of America,2019,0.0
China,2021,0.0
Lebanon,2027,-0.02
Australia,2019,0.0
Australia,2019,0.0
United States of America,2022,0.0
Poland,2026,0.06333333333333332
United States of America,2027,-0.044444444444444446
United States of America,2018,0.0
Mongolia,2026,0.0004329004329004317
Syria,2021,0.0
Brazil,2020,0.0
United States of America,2017,0.0
Kazakhstan,2022,0.0
United States of America,2018,0.0
United States of America,2024,0.0
Mongolia,2027,0.11458333333333333
United States of America,2017,0.0
Russia,2024,0.0
Tunisia,2021,0.0
United States of America,2020,0.0
New Zealand,2022,0.0
Cameroon,2021,0.0
United States of America,2025,0.0
United Kingdom,2023,0.0
Morocco,2025,0.0
United States of America,2017,0.0
United States of America,2023,0.0
Turkey,2021,0.0
United States of America,2021,0.0
United States of America,2018,0.0
India,2023,0.0
United States of America,2024,0.0
Germany,2022,0.0
Nepal,2027,0.0
United States of America,2024,0.0
United States of America,2019,0.0
United States of America,2027,-0.028367003367003367
Bolivia,2027,0.0
Australia,2022,0.0
Netherlands,2018,0.0
United States of America,2022,0.0
United States of America,2025,0.0
United States of America,2023,0.0
Austria,2021,0.0
United States of America,2024,0.0
United States of America,2019,0.0
Mexico,2026,0.009375000000000001
United States of America,2020,0.0
United States of America,2017,0.0
United States of America,2017,0.0
United States of America,2022,0.0
United Kingdom,2024,0.0
United States of America,2018,0.0
United States of America,2022,0.0
Canada,2017,0.0
Canada,2023,0.0
France,2018,0.0
Singapore,2022,0.0
Cameroon,2017,0.0
United States of America,2022,0.0
United States of America,2024,0.0
United Kingdom,2017,0.0
United States of America,2024,0.0
Germany,2017,0.0
United States of America,2026,0.11885521885521887
United States of America,2017,0.0
United Kingdom,2018,0.0
China,2023,0.0
China,2019,0.0
Ireland,2019,0.0
France,2026,0.06700336700336701
United States of America,2025,0.0
United States of America,2017,0.0
United States of America,2018,0.0
China,2018,0.0
China,2027,0.044498556998557
China,2022,0.0
United States of America,2027,0.15714285714285717
United States of America,2021,0.0
Argentina,2021,0.0
United States of America,2020,0.0
United States of America,2020,0.0
Chile,2025,0.0
Italy,2022,0.0
United Kingdom,2022,0.0
United States of America,2027,0.05555555555555556
United Kingdom,2024,0.0
United States of America,2022,0.0
United States of America,2025,0.0
China,2020,0.0
India,2017,0.0
United States of America,2020,0.0
United States of America,2018,0.0
United States of America,2024,0.0
United States of America,2023,0.0
United States of America,2022,0.0
China,2027,0.08825757575757576
United States of America,2022,0.0
Cameroon,2027,0.08181818181818182
Peru,2017,0.0
United States of America,2024,0.0
United States of America,2017,0.0
China,2026,0.07833333333333334
United States of America,2023,0.0
Australia,2021,0.0
United States of America,2020,0.0
China,2019,0.0
China,2018,0.0
United States of America,2018,0.0
United States of America,2018,0.0
China,2026,0.2563636363636364
Italy,2023,0.0
United States of America,2021,0.0
United States of America,2024,0.0
China,2022,0.0
China,2026,0.016666666666666666
China,2024,0.0
United States of America,2022,0.0
China,2020,0.0
China,2021,0.0
Australia,2027,0.13333333333333333
United States of America,2017,0.0
China,2024,0.0
Singapore,2019,0.0
United States of America,2023,0.0
France,2025,0.0
Singapore,2025,0.0
United States of America,2019,0.0
China,2017,0.0
China,2027,-0.005555555555555554
United States of America,2026,-0.023809523809523808
United Kingdom,2019,0.0
China,2023,0.0
Brazil,2021,0.0
China,2027,0.04454545454545454
China,2024,0.0
South Korea,2024,0.0
India,2019,0.0
South Korea,2021,0.0
Bangladesh,2022,0.0
Brazil,2020,0.0
China,2017,0.0
Singapore,2017,0.0
United States of America,2020,0.0
Tanzania,2027,0.03571428571428571
China,2022,0.0
United States of America,2025,0.0
Cote D'Ivoire,2024,0.0
United States of America,2027,0.05714285714285715
France,2019,0.0
United States of America,2017,0.0
United States of America,2019,0.0
United States of America,2020,0.0
United States of America,2020,0.0
United States of America,2026,0.05246212121212121
Peru,2018,0.0
Australia,2026,0.1272727272727273
Ireland,2018,0.0
United States of America,2026,0.10250000000000001
United States of America,2023,0.0
Russia,2025,0.0
Germany,2020,0.0
Chile,2021,0.0
Brazil,2018,0.0
Brazil,2026,0.0
Brazil,2024,0.0
United States of America,2025,0.0
United States of America,2019,0.0
United States of America,2022,0.0
United States of America,2023,0.0
China,2026,0.08009259259259259
China,2022,0.0
China,2026,0.1565530303030303
United States of America,2021,0.0
United States of America,2023,0.0
Mexico,2023,0.0
United States of America,2020,0.0
Canada,2023,0.0
Burkina Faso,2022,0.0
Ghana,2027,-0.05185185185185185
China,2019,0.0
China,2020,0.0
Mongolia,2022,0.0
Zambia,2025,0.0
United States of America,2019,0.0
United States of America,2019,0.0
Ghana,2020,0.0
United Kingdom,2020,0.0
Bangladesh,2021,0.0
Malaysia,2023,0.0
United States of America,2020,0.0
United States of America,2023,0.0
United States of America,2019,0.0
Australia,2019,0.0
United Kingdom,2027,-0.026666666666666665
United States of America,2025,0.0
Spain,2026,0.18579545454545454
United States of America,2018,0.0
Netherlands,2024,0.0
Netherlands,2024,0.0
United States of America,2020,0.0
United States of America,2027,0.04583333333333333
United States of America,2021,0.0
United States of America,2027,0.15000000000000002
United States of America,2027,0.08055555555555556
China,2017,0.0
United States of America,2017,0.0
United States of America,2024,0.0
Australia,2022,0.0
United States of America,2025,0.0
Canada,2022,0.0
United States of America,2025,0.0
Guinea,2020,0.0
Guinea,2025,0.0
United States of America,2020,0.0
Israel,2027,0.016666666666666666
United States of America,2024,0.0
United States of America,2017,0.0
Canada,2024,0.0
United States of America,2023,0.0
United States of America,2022,0.0
United States of America,2025,0.0
United States of America,2021,0.0
United States of America,2027,-0.08888888888888889
New Zealand,2018,0.0
United States of America,2019,0.0
Germany,2024,0.0
United States of America,2018,0.0
China,2021,0.0
United States of America,2023,0.0
France,2020,0.0
Australia,2023,0.0
United States of America,2021,0.0
United States of America,2023,0.0
United States of America,2022,0.0
United States of America,2027,0.01571428571428572
United States of America,2023,0.0
Canada,2026,-0.0125
Nigeria,2027,0.0625
Japan,2023,0.0
Netherlands,2019,0.0
Egypt,2021,0.0
United States of America,2017,0.0
Nigeria,2027,-0.03833333333333334
United States of America,2022,0.0
United States of America,2027,0.07878787878787878
Germany,2018,0.0
Mongolia,2018,0.0
United States of America,2025,0.0
United States of America,2027,-0.010416666666666666
United States of America,2018,0.0
Kyrgyzstan,2020,0.0
United States of America,2018,0.0
Dominican Republic,2026,0.037500000000000006
United States of America,2026,0.08
United States of America,2026,0.025
Canada,2019,0.0
Antigua and Barbuda,2022,0.0
United States of America,2019,0.0
Bangladesh,2024,0.0
Senegal,2021,0.0
New Zealand,2023,0.0
China,2020,0.0
China,2025,0.0
China,2022,0.0
United States of America,2024,0.0
Panama,2025,0.0
Namibia,2025,0.0
China,2020,0.0
United States of America,2023,0.0
United States of America,2019,0.0
United States of America,2024,0.0
United Kingdom,2020,0.0
Brazil,2027,0.15625
Australia,2025,0.0
Australia,2024,0.0
United States of America,2022,0.0
Ecuador,2022,0.0
Denmark,2017,0.0
Norway,2027,0.0248015873015873
United States of America,2022,0.0
Haiti,2021,0.0
United Kingdom,2024,0.0
United States of America,2026,0.10176767676767677
United States of America,2018,0.0
United States of America,2021,0.0
China,2022,0.0
United States of America,2024,0.0
China,2023,0.0
Venezuela,2020,0.0
Argentina,2017,0.0
Japan,2025,0.0
United States of America,2026,0.25
United States of America,2017,0.0
United States of America,2024,0.0
United States of America,2019,0.0
United States of America,2024,0.0
United States of America,2023,0.0
United States of America,2020,0.0
United States of America,2027,0.1625
United States of America,2019,0.0
United States of America,2025,0.0
India,2021,0.0
United States of America,2018,0.0
Mexico,2020,0.0
United States of America,2018,0.0
United States of America,2027,0.08958333333333333
United States of America,2023,0.0
South Africa,2024,0.0
United States of America,2017,0.0
Jamaica,2025,0.0
Sweden,2026,0.1025
Mongolia,2017,0.0
United States of America,2020,0.0
Italy,2024,0.0
India,2020,0.0
United States of America,2018,0.0
Argentina,2027,0.07142857142857142
Kenya,2026,-0.016666666666666666
Switzerland,2024,0.0
United States of America,2017,0.0
United Kingdom,2020,0.0
Benin,2027,0.1075
Liberia,2025,0.0
United States of America,2019,0.0
Singapore,2022,0.0
United States of America,2026,0.13999999999999999
United States of America,2018,0.0
United States of America,2017,0.0
United States of America,2017,0.0
Mexico,2021,0.0
China,2026,0.05238095238095238
Mexico,2025,0.0
Spain,2027,-0.05
Dominican Republic,2017,0.0
United States of America,2018,0.0
United States of America,2020,0.0
United States of America,2022,0.0
United States of America,2020,0.0
United States of America,2025,0.0
United States of America,2019,0.0
Germany,2025,0.0
Germany,2025,0.0
United States of America,2024,0.0
China,2022,0.0
China,2025,0.0
United States of America,2027,0.045000000000000005
Ghana,2018,0.0
United States of America,2024,0.0
China,2022,0.0
United States of America,2020,0.0
China,2025,0.0
China,2027,0.041666666666666664
China,2018,0.0
India,2020,0.0
Israel,2022,0.0
United States of America,2023,0.0
Ukraine,2019,0.0
United States of America,2020,0.0
China,2020,0.0
United States of America,2025,0.0
Hungary,2023,0.0
United States of America,2022,0.0
Canada,2026,0.05
Guyana,2026,0.203125
United States of America,2026,0.32999999999999996
United States of America,2026,0.14981060606060606
Israel,2019,0.0
New Zealand,2022,0.0
United States of America,2017,0.0
China,2025,0.0
China,2023,0.0
China,2021,0.0
United States of America,2023,0.0
United States of America,2026,0.07222222222222223
United States of America,2019,0.0
Israel,2020,0.0
United States of America,2017,0.0
United States of America,2018,0.0
United States of America,2018,0.0
United States of America,2019,0.0
United States of America,2020,0.0
China,2026,0.0
China,2022,0.0
China,2021,0.0
Argentina,2022,0.0
China,2020,0.0
China,2023,0.0
United States of America,2022,0.0
United States of America,2017,0.0
Germany,2024,0.0
United States of America,2017,0.0
Australia,2021,0.0
Japan,2020,0.0
Switzerland,2027,-0.05
China,2022,0.0
United States of America,2018,0.0
China,2026,0.015625
Brazil,2020,0.0
China,2017,0.0
United States of America,2017,0.0
Germany,2022,0.0
Germany,2025,0.0
United Kingdom,2018,0.0
Germany,2026,0.12916666666666668
China,2027,0.29083333333333333
United States of America,2025,0.0
United Kingdom,2025,0.0
United States of America,2019,0.0
United States of America,2024,0.0
United States of America,2024,0.0
United States of America,2027,0.0078125
United States of America,2025,0.0
United States of America,2021,0.0
China,2017,0.0
Myanmar,2027,-0.0075000000000000015
United States of America,2024,0.0
China,2017,0.0
China,2023,0.0
China,2020,0.0
Singapore,2022,0.0
China,2024,0.0
United States of America,2020,0.0
China,2018,0.0
China,2020,0.0
China,2017,0.0
United States of America,2023,0.0
China,2021,0.0
China,2024,0.0
China,2027,-0.025000000000000005
United States of America,2023,0.0
China,2021,0.0
Canada,2019,0.0
Canada,2018,0.0
United States of America,2025,0.0
United Kingdom,2025,0.0
Malaysia,2019,0.0
Azerbaijan,2027,0.275
India,2021,0.0
Australia,2021,0.0
United States of America,2017,0.0
United Kingdom,2018,0.0
South Korea,2019,0.0
United Kingdom,2021,0.0
Jordan,2022,0.0
Chile,2020,0.0
South Korea,2018,0.0
India,2019,0.0
United States of America,2024,0.0
United States of America,2022,0.0
Jordan,2024,0.0
United States of America,2026,0.1
United Kingdom,2018,0.0
United States of America,2019,0.0
United Kingdom,2019,0.0
United States of America,2020,0.0
United States of America,2022,0.0
United States of America,2019,0.0
Azerbaijan,2022,0.0
United States of America,2022,0.0
United States of America,2023,0.0
United States of America,2017,0.0
United Kingdom,2019,0.0
Pakistan,2026,0.05
United States of America,2024,0.0
United States of America,2017,0.0
New Zealand,2021,0.0
South Korea,2022,0.0
United States of America,2020,0.0
United States of America,2025,0.0
China,2018,0.0
China,2020,0.0
China,2018,0.0
Singapore,2020,0.0
China,2027,0.13164335664335663
China,2021,0.0
United States of America,2026,-0.016666666666666666
China,2018,0.0
China,2024,0.0
United States of America,2027,0.08571428571428572
United States of America,2022,0.0
China,2021,0.0
China,2024,0.0
Singapore,2019,0.0
China,2021,0.0
Japan,2020,0.0
United States of America,2027,0.00555555555555555
United States of America,2023,0.0
Botswana,2021,0.0
Ireland,2025,0.0
United States of America,2026,-0.055555555555555546
Moldova,2025,0.0
India,2021,0.0
Singapore,2025,0.0
United States of America,2023,0.0
Singapore,2020,0.0
South Korea,2020,0.0
Poland,2024,0.0
United States of America,2024,0.0
Singapore,2018,0.0
United States of America,2019,0.0
Japan,2021,0.0
Thailand,2017,0.0
United States of America,2023,0.0
United States of America,2023,0.0
United States of America,2022,0.0
India,2024,0.0
India,2022,0.0
China,2026,0.08424723424723425
China,2017,0.0
France,2021,0.0
India,2027,0.12916666666666665
United States of America,2019,0.0
